"Date","Price","Open","High","Low","Change %"
"01/12/2024","4.6850","4.2860","4.7055","4.2360","10.39%"
"01/11/2024","4.2440","4.4810","4.5940","4.2220","-4.61%"
"01/10/2024","4.4490","4.0060","4.5260","3.9150","10.98%"
"01/09/2024","4.0090","4.0440","4.0630","3.7310","-0.17%"
"01/08/2024","4.0160","3.9390","4.0300","3.7420","1.13%"
"01/07/2024","3.9710","4.2070","4.2930","3.9690","-4.91%"
"01/06/2024","4.1760","4.3060","4.3350","4.0030","-3.42%"
"01/05/2024","4.3240","4.3660","4.4090","4.0460","-0.62%"
"01/04/2024","4.3510","4.0280","4.3960","3.9810","10.49%"
"01/03/2024","3.9380","4.1520","4.1960","3.8930","-4.56%"
"01/02/2024","4.1260","3.8200","4.2680","3.7250","8.64%"
"01/01/2024","3.7980","3.6070","4.0700","3.5890","7.32%"
"01/12/2023","3.5390","4.1930","4.2180","3.4330","-15.25%"
"01/11/2023","4.1760","4.5580","4.5640","4.0280","-7.57%"
"01/10/2023","4.5180","4.4700","4.7430","4.2840","1.60%"
"01/09/2023","4.4470","4.3860","4.5650","4.2130","2.00%"
"01/08/2023","4.3600","4.3000","4.7550","4.2950","1.21%"
"01/07/2023","4.3080","4.3850","4.7170","4.1380","-1.80%"
"01/06/2023","4.3870","4.2050","4.4980","4.0920","4.98%"
"01/05/2023","4.1790","3.8230","4.4330","3.6150","12.46%"
"01/04/2023","3.7160","3.5050","3.8770","3.3730","6.48%"
"01/03/2023","3.4900","3.8630","3.8920","3.1300","-8.73%"
"01/02/2023","3.8240","3.3130","3.8900","2.9960","14.70%"
"01/01/2023","3.3340","3.6220","3.6710","3.1770","-9.13%"
"01/12/2022","3.6690","3.0840","3.7610","3.0070","16.00%"
"01/11/2022","3.1630","3.4860","3.6890","2.8990","-10.22%"
"01/10/2022","3.5230","4.0530","4.6320","3.3780","-13.99%"
"01/09/2022","4.0960","2.8610","4.5820","2.8240","46.34%"
"01/08/2022","2.7990","1.8830","2.8740","1.7110","51.05%"
"01/07/2022","1.8530","2.2140","2.2810","1.8400","-17.28%"
"01/06/2022","2.2400","2.1200","2.7450","2.0970","6.67%"
"01/05/2022","2.1000","1.8620","2.1250","1.6680","10.01%"
"01/04/2022","1.9090","1.6470","2.0230","1.5270","18.79%"
"01/03/2022","1.6070","1.3980","1.7500","1.1050","13.57%"
"01/02/2022","1.4150","1.3070","1.6070","1.2470","8.10%"
"01/01/2022","1.3090","0.9740","1.3140","0.9460","34.67%"
"01/12/2021","0.9720","0.8300","1.0270","0.6810","19.85%"
"01/11/2021","0.8110","1.0420","1.1170","0.7780","-21.41%"
"01/10/2021","1.0320","0.9900","1.2190","0.9640","0.98%"
"01/09/2021","1.0220","0.7210","1.0660","0.6690","64.31%"
"01/08/2021","0.6220","0.5720","0.6300","0.4800","9.89%"
"01/07/2021","0.5660","0.7340","0.7490","0.5000","-21.17%"
"01/06/2021","0.7180","0.8050","0.8460","0.6910","-9.80%"
"01/05/2021","0.7960","0.8370","0.9250","0.7380","-5.58%"
"01/04/2021","0.8430","0.8600","0.8680","0.7130","-0.35%"
"01/03/2021","0.8460","0.7920","0.9080","0.6810","2.79%"
"01/02/2021","0.8230","0.3230","0.8360","0.3200","150.15%"
"01/01/2021","0.3290","0.2070","0.3660","0.1560","67.86%"
"01/12/2020","0.1960","0.3070","0.3700","0.1550","-35.95%"
"01/11/2020","0.3060","0.2550","0.4410","0.1730","16.35%"
"01/10/2020","0.2630","0.2380","0.3150","0.1520","13.36%"
"01/09/2020","0.2320","0.3130","0.3490","0.1430","-25.88%"
"01/08/2020","0.3130","0.1070","0.3720","0.0650","198.10%"
"01/07/2020","0.1050","0.2040","0.2260","0.0700","-38.95%"
"01/06/2020","0.1720","0.1950","0.3760","0.1380","-7.03%"
"01/05/2020","0.1850","0.2350","0.2950","0.1340","-18.50%"
"01/04/2020","0.2270","0.3100","0.4140","0.2270","-36.06%"
"01/03/2020","0.3550","0.4560","1.0580","0.0740","-19.32%"
"01/02/2020","0.4400","0.5250","0.6600","0.3980","-16.35%"
"01/01/2020","0.5260","0.8680","0.8770","0.4750","-36.24%"
"01/12/2019","0.8250","0.7200","0.8950","0.6520","17.86%"
"01/11/2019","0.7000","0.6310","0.8330","0.6200","10.94%"
"01/10/2019","0.6310","0.5000","0.7930","0.4070","29.84%"
"01/09/2019","0.4860","0.4810","0.7670","0.3410","1.46%"
"01/08/2019","0.4790","0.6240","0.6320","0.4050","-21.35%"
"01/07/2019","0.6090","0.8550","0.8580","0.6080","-26.80%"
"01/06/2019","0.8320","0.8790","0.9070","0.7850","-6.31%"
"01/05/2019","0.8880","1.1830","1.2240","0.8540","-25.13%"
"01/04/2019","1.1860","1.0260","1.2480","0.9950","19.08%"
"01/03/2019","0.9960","1.3090","1.3260","0.9680","-23.56%"
"01/02/2019","1.3030","1.2270","1.3180","1.1220","6.80%"
"01/01/2019","1.2200","1.2490","1.3760","1.1760","-3.86%"
"01/12/2018","1.2690","1.3820","1.3880","1.1600","-6.96%"
"01/11/2018","1.3640","1.4560","1.5690","1.3210","-5.08%"
"01/10/2018","1.4370","1.5780","1.7490","1.3630","-8.70%"
"01/09/2018","1.5740","1.4350","1.6420","1.3930","10.15%"
"01/08/2018","1.4290","1.3510","1.5020","1.1980","7.36%"
"01/07/2018","1.3310","1.2630","1.3610","1.1680","4.15%"
"01/06/2018","1.2780","1.2770","1.4400","1.2350","3.99%"
"01/05/2018","1.2290","1.4240","1.5650","1.1070","-13.33%"
"01/04/2018","1.4180","1.3370","1.5710","1.3320","5.04%"
"01/03/2018","1.3500","1.5000","1.5670","1.3490","-10.12%"
"01/02/2018","1.5020","1.5270","1.6910","1.4850","-0.66%"
"01/01/2018","1.5120","1.2060","1.5140","1.2050","27.27%"
"01/12/2017","1.1880","1.3230","1.3300","1.1390","-10.74%"
"01/11/2017","1.3310","1.3400","1.3780","1.1960","-0.15%"
"01/10/2017","1.3330","1.3900","1.4410","1.2680","-2.42%"
"01/09/2017","1.3660","1.0380","1.4240","0.9570","31.85%"
"01/08/2017","1.0360","1.2490","1.2610","0.9880","-15.84%"
"01/07/2017","1.2310","1.2820","1.3390","1.1690","-2.22%"
"01/06/2017","1.2590","1.0490","1.2920","0.9280","20.02%"
"01/05/2017","1.0490","1.0880","1.2230","0.9860","-3.50%"
"01/04/2017","1.0870","1.1410","1.1470","1.0000","-4.65%"
"01/03/2017","1.1400","1.1720","1.2990","1.1100","-0.96%"
"01/02/2017","1.1510","1.4540","1.4700","1.0680","-18.83%"
"01/01/2017","1.4180","1.2410","1.5300","1.2390","14.35%"
"01/12/2016","1.2400","1.4160","1.5370","1.2190","-12.55%"
"01/11/2016","1.4180","1.2760","1.4980","1.1150","13.80%"
"01/10/2016","1.2460","0.7430","1.3120","0.7130","66.58%"
"01/09/2016","0.7480","0.6540","0.9510","0.6400","16.51%"
"01/08/2016","0.6420","0.6920","0.8420","0.5030","-6.41%"
"01/07/2016","0.6860","0.8450","0.8910","0.6860","-21.24%"
"01/06/2016","0.8710","1.4280","1.4310","0.8630","-39.13%"
"01/05/2016","1.4310","1.6090","1.6100","1.3540","-10.45%"
"01/04/2016","1.5980","1.4230","1.6690","1.3190","12.69%"
"01/03/2016","1.4180","1.3390","1.5860","1.3160","6.06%"
"01/02/2016","1.3370","1.5610","1.6350","1.2250","-14.35%"
"01/01/2016","1.5610","1.9200","1.9210","1.5590","-20.40%"
"01/12/2015","1.9610","1.8500","1.9980","1.7230","7.16%"
"01/11/2015","1.8300","1.9270","2.0890","1.8010","-4.98%"
"01/10/2015","1.9260","1.7800","1.9490","1.6460","9.12%"
"01/09/2015","1.7650","1.9600","1.9890","1.7300","-9.49%"
"01/08/2015","1.9500","1.8990","2.0070","1.6960","3.61%"
"01/07/2015","1.8820","2.0590","2.1780","1.7820","-7.29%"
"01/06/2015","2.0300","1.8310","2.2130","1.8080","12.53%"
"01/05/2015","1.8040","1.8110","2.0700","1.7880","-1.69%"
"01/04/2015","1.8350","1.5850","1.8840","1.5010","16.21%"
"01/03/2015","1.5790","1.7820","1.9640","1.4440","-11.74%"
